Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
146,"team921 南昌大学",5,11:15:24,,"01:22:39 (-1)",,,,,,"00:36:38 (-1)",01:14:31,"04:00:38 (-5)","00:20:58 (-4)",
147,"team582 福州大学",5,11:18:33,,"00:35:58 (-2)",,,,,(-4),00:15:36,"01:33:30 (-15)","02:25:28 (-1)","00:08:01 (-1)",
148,"team318 北京邮电大学",5,11:21:09,(-2),"01:38:47 (-1)",,,,,,00:30:28,"02:31:50 (-1)","04:24:51 (-4)",00:15:13,
149,"team965 浙江师范大学",5,11:22:29,,"02:52:00 (-1)",,,,,,00:36:59,"01:48:18 (-2)","03:39:09 (-2)","00:26:03 (-1)",
150,"team679 南京大学",5,11:22:57,,02:17:33,,,,,,00:51:53,01:06:40,"04:08:29 (-1)","01:18:22 (-4)",
151,"team754 华中师范大学",5,11:27:32,,02:48:48,,,,,,00:23:22,"02:23:18 (-2)",04:05:53,"00:46:11 (-1)",
152,"team171 湖南师范大学",5,11:41:58,,"03:07:20 (-2)",,,,,,00:42:40,"01:51:47 (-2)",03:44:10,"00:16:01 (-2)",
153,"team631 南阳理工学院",5,11:47:45,,"03:29:17 (-1)",,,,,,00:15:30,"02:10:22 (-4)",04:04:49,00:07:47,
154,"team167 北京林业大学",5,11:56:16,,"02:34:14 (-7)",,,,,,00:33:53,"01:03:59 (-3)",03:43:17,"00:20:53 (-1)",
155,"team673 南京大学",5,11:56:20,,"02:34:59 (-2)",,,,,,01:51:01,"01:30:00 (-3)","03:03:07 (-3)",00:17:13,
156,"team053 东北大学",5,11:59:47,,"02:45:17 (-1)",,,,,,00:32:08,"01:14:48 (-1)","04:45:05 (-4)","00:22:29 (-1)",
157,"team612 衢州第二中学",5,12:04:21,,"03:08:40 (-4)",,,,,,"00:42:36 (-1)","01:03:03 (-1)",04:20:27,"00:09:35 (-2)",
158,"team759 武汉大学",5,12:07:11,,"01:33:33 (-4)",,,,,,00:50:38,"01:33:08 (-3)","04:15:01 (-2)","00:14:51 (-2)",
159,"team147 武汉大学",5,12:08:23,,"03:47:58 (-3)",,,,,,00:58:27,01:41:02,04:33:04,00:07:52,
160,"team184 广东工业大学",5,12:19:38,(-2),"01:54:19 (-5)",,,,,,00:19:29,00:40:11,"04:55:30 (-5)","00:30:09 (-2)",
