Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
116,"team673 南京大学",6,09:18:03,00:43:19,"04:16:08 (-1)",00:28:34,00:23:02,01:20:10,,01:46:50,,,,(-1)
117,"team804 哈尔滨工业大学",6,09:24:06,"00:47:29 (-2)",02:36:09,00:23:49,"00:58:44 (-1)",02:03:30,,01:34:25,,,,
118,"team1008 杭州电子科技大学",6,09:53:15,01:12:24,(-5),00:17:23,00:12:48,"01:11:41 (-1)",,02:39:50,"03:39:09 (-1)",,,
119,"team490 山东省烟台市第二中学",6,10:04:56,00:17:51,"04:08:08 (-2)",00:30:09,00:48:35,"01:18:40 (-1)",,02:01:33,,,,(-2)
120,"team841 南京大学",6,10:05:28,"00:15:54 (-1)",,00:22:15,00:30:36,01:25:21,,00:50:23,"04:40:59 (-5)",,,
121,"team759 武汉大学",6,10:14:35,"00:33:50 (-1)","04:06:15 (-4)",00:31:51,00:25:54,01:51:09,,01:05:36,(-1),,,(-4)
122,"team190 广东工业大学",6,10:15:11,"00:14:14 (-1)","03:34:36 (-4)",00:40:39,00:26:25,"01:58:02 (-1)",,01:21:15,,,,
123,"team388 华南师范大学附属中学",6,10:27:40,"00:34:59 (-1)","03:03:07 (-3)",00:23:22,"00:44:01 (-3)",01:56:05,,01:26:06,,,,
124,"team333 同济大学",6,10:42:38,"00:38:48 (-5)",,00:17:15,00:46:49,01:03:51,,01:32:22,"04:03:33 (-2)",,,
125,"team876 复旦大学",6,10:50:37,00:40:25,04:29:24,"00:23:58 (-1)",00:59:00,"01:34:17 (-1)",,02:03:33,,,,
126,"team132 浙大宁波理工学院",6,10:55:07,00:41:19,03:50:42,"00:22:32 (-1)",01:01:20,02:38:34,,02:00:40,,,,
127,"team1042 吉林大学",6,10:57:23,"00:12:35 (-1)","04:58:58 (-8)",00:18:42,00:28:18,01:11:39,,00:47:11,,,,(-5)
128,"team051 东北大学",6,11:12:45,"00:29:48 (-1)",(-6),00:39:23,00:55:06,02:12:30,,01:46:55,,,,04:49:03
129,"team1010 杭州电子科技大学",6,11:18:43,"00:52:10 (-2)",04:23:13,00:22:01,00:47:21,"01:45:37 (-2)",,01:48:21,,,,(-3)
130,"team483 华南理工大学",6,11:19:45,"00:53:20 (-1)","04:52:41 (-3)",00:11:35,00:24:59,01:30:57,,02:06:13,(-2),,,
131,"team491 中国民航大学",6,11:21:36,00:27:01,"04:39:19 (-2)",00:40:12,00:42:38,02:15:54,,01:56:32,,,,(-8)
132,"team676 南京大学",6,11:28:29,00:36:14,,"00:39:45 (-1)",00:26:03,"03:59:59 (-3)",,01:00:02,,,,"03:06:26 (-1)"
133,"team1004 杭州电子科技大学",6,11:33:47,"01:07:34 (-1)",,"00:26:21 (-1)",01:04:13,01:01:00,,"02:52:26 (-1)",(-7),,,"03:22:13 (-2)"
134,"team480 长沙市长郡中学",6,11:39:20,"01:30:16 (-2)","01:15:05 (-2)","00:43:31 (-3)","00:37:13 (-1)","02:35:38 (-1)",,01:57:37,,,,(-2)
135,"team384 华南师范大学附属中学",6,11:42:25,00:33:18,"03:54:07 (-1)",00:15:59,"00:49:11 (-4)",01:27:37,,"02:22:13 (-2)",,,,
136,"team844 四川省成都市第七中学",6,11:49:28,"00:37:39 (-2)",(-3),00:27:34,00:49:35,"01:46:46 (-5)",,02:07:05,"03:20:49 (-1)",,,
137,"team381 华南师范大学附属中学",6,11:57:52,"01:13:47 (-1)",03:55:00,00:32:27,"01:09:35 (-2)",01:57:47,,02:09:16,,,,(-1)
138,"team170 湖南师范大学",6,11:58:18,01:03:11,"04:54:28 (-2)","00:38:17 (-1)",00:56:47,"01:43:08 (-1)",,01:22:27,,,,(-2)
139,"team052 东北大学",6,12:02:28,00:10:10,"03:45:53 (-1)","00:45:40 (-2)",00:36:15,"02:47:36 (-1)",,02:36:54,(-29),,,
140,"team878 复旦大学",6,12:18:42,"00:27:22 (-1)","02:59:53 (-2)","01:25:59 (-2)","00:52:36 (-1)",01:53:16,,"02:19:36 (-1)",,,,(-4)
141,"team221 大连海事大学",6,12:26:09,"01:47:05 (-4)","03:04:40 (-1)",00:45:49,00:36:59,01:38:33,,02:53:03,,,,
142,"team090 长沙理工大学",6,12:31:21,"00:09:28 (-1)",(-8),"00:42:36 (-3)",00:15:54,"02:05:54 (-1)",(-23),"01:29:32 (-1)",,,,"03:47:57 (-6)"
143,"team758 武汉科技大学",6,12:35:15,"00:44:56 (-1)",,00:18:24,00:58:53,01:39:07,,03:08:39,"04:45:16 (-2)",,,
144,"team063 浙江工业大学",6,12:48:07,"01:31:06 (-2)","04:26:13 (-2)",00:45:09,01:07:03,01:57:23,(-1),01:41:13,(-1),(-1),,
145,"team150 武汉大学",6,12:51:53,"00:18:02 (-1)","04:32:13 (-3)",00:35:31,00:36:34,"02:04:40 (-3)",(-6),02:24:53,,,,
